geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
dr5r5z,0,0,0,1,17,0,41,5,0,18,0,0,0,0,28,54,81,1,0,82,0
dr5r6p,0,0,0,0,0,0,11,4,0,11,1,0,0,0,22,5,25,2,0,27,0
dr5r6q,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
dr5r7b,0,0,0,1,16,0,30,26,0,6,0,0,0,16,26,69,92,3,0,95,0
dr5r7c,0,0,0,0,0,0,2,9,0,10,1,0,0,37,40,19,59,0,0,59,0
dr5r7s,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,3,11,0,0,11,0
dr5r7u,0,0,0,0,0,0,61,18,0,0,0,0,0,0,46,33,79,0,0,79,0
dr5r80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
dr5r8d,0,0,6,8,0,0,0,2,2,0,0,0,0,0,0,18,15,3,0,18,0
dr5r8h,0,0,0,0,2,0,86,0,0,0,0,0,0,0,84,4,88,0,0,88,0
dr5r8n,0,0,0,0,22,0,44,8,1,43,0,0,0,0,86,32,118,0,0,118,0
dr5r8p,0,1,0,0,45,2,32,11,1,21,0,0,0,0,50,63,113,0,1,112,0
dr5r8r,0,0,0,0,45,2,24,7,0,2,0,0,0,3,52,31,83,0,0,83,0
dr5r8x,0,0,0,0,20,3,18,0,0,1,0,0,0,0,26,16,36,6,0,42,0
dr5r8y,0,0,0,0,10,1,56,0,0,3,0,0,0,0,48,22,70,0,0,70,0
dr5r9c,0,0,0,0,12,0,74,9,0,0,0,3,0,20,96,22,118,0,0,118,0
dr5r9u,0,0,0,0,0,0,21,0,0,4,0,10,6,0,22,19,41,0,0,41,0
dr5rb0,0,0,0,0,46,1,33,4,0,10,0,0,0,0,62,32,92,2,2,92,0
dr5rb1,0,0,0,0,24,0,15,24,1,36,0,0,0,0,74,26,100,0,0,100,0
dr5rb3,0,0,3,6,28,0,63,6,1,16,0,0,0,0,106,17,115,8,0,123,0
dr5rb4,0,0,1,1,15,2,53,11,0,32,0,0,0,0,86,29,115,0,0,115,0
dr5rb6,0,0,0,1,12,1,53,29,0,0,0,0,0,1,82,15,95,2,0,97,0
dr5rb8,0,0,0,1,14,0,14,0,0,2,0,0,0,0,24,7,31,0,0,31,0
dr5rb9,0,0,0,0,42,0,104,0,0,4,0,0,0,0,120,30,150,0,0,150,0
dr5rbc,0,0,0,0,2,0,7,0,0,0,0,0,0,0,8,1,9,0,0,9,0
dr5rbd,0,0,0,0,12,0,56,0,0,24,0,0,0,0,74,18,90,2,0,92,0
dr5rbg,0,0,0,0,0,0,19,4,0,4,0,0,0,0,26,1,27,0,0,27,0
dr5rbm,0,0,0,1,0,0,51,10,0,22,0,0,0,0,70,14,83,1,0,84,0
dr5rbn,0,0,0,0,0,0,44,0,0,12,2,0,0,5,58,5,63,0,0,63,0
dr5rbp,0,0,0,0,0,0,48,30,0,8,0,0,0,8,76,18,92,2,0,94,0
dr5rbq,0,0,0,0,0,0,24,12,0,24,0,0,0,0,54,6,60,0,0,60,0
dr5rbr,0,0,0,0,0,0,38,6,0,30,0,0,0,0,72,2,74,0,0,74,0
dr5rbs,0,0,0,0,8,0,64,0,0,22,0,0,0,0,80,14,94,0,0,94,0
dr5rbt,0,0,0,0,6,1,70,4,0,16,0,0,0,0,86,11,97,0,0,97,0
dr5rbv,0,0,0,0,2,0,61,10,0,16,0,0,0,3,88,4,92,0,0,92,0
dr5rby,0,0,0,0,10,0,111,0,0,4,0,0,0,0,124,1,123,2,0,125,0
dr5rd3,0,0,0,3,0,0,24,26,0,6,0,0,0,0,48,11,57,2,0,59,0
dr5rd4,0,0,0,0,16,0,31,0,0,47,0,0,0,0,82,12,94,0,0,94,0
dr5rd5,0,0,0,0,14,0,30,16,0,28,0,0,0,0,80,8,84,4,0,88,0
dr5rdg,0,0,0,0,0,0,16,0,0,14,0,0,0,0,26,4,28,2,0,30,0
dr5rdj,0,0,0,0,21,0,38,0,0,4,0,12,8,2,40,45,85,0,0,85,0
dr5rdt,0,0,0,0,0,0,58,34,0,29,0,0,0,6,96,31,125,2,0,127,0
dr5rdv,0,0,0,0,0,0,69,38,1,6,0,0,0,0,60,54,114,0,0,114,0
dr5rdw,0,0,0,0,10,0,62,12,0,37,0,0,0,0,84,37,119,2,0,121,0
dr5rdx,0,0,0,0,14,3,39,18,0,24,0,0,0,0,76,22,96,2,0,98,0
dr5rdy,0,0,0,2,0,0,51,16,0,10,0,0,0,0,58,21,71,8,0,79,0
dr5re5,0,0,0,0,0,0,47,0,0,0,0,0,0,2,36,13,49,0,0,49,0
dr5re7,0,0,0,0,0,0,31,0,0,2,0,0,0,3,18,18,36,0,0,36,0
dr5rec,0,0,2,5,25,0,24,0,0,0,0,0,0,3,28,31,59,0,0,59,0
dr5red,0,0,1,11,13,1,43,1,0,0,0,10,0,0,36,44,80,0,7,71,2
dr5ree,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,2,8,0,0,8,0
dr5ref,0,1,0,1,12,0,87,13,0,8,0,1,0,18,40,101,141,0,0,141,0
dr5reg,0,0,0,0,0,0,29,43,2,0,0,7,0,19,24,76,100,0,0,100,0
dr5reh,0,0,0,0,0,0,53,32,0,38,4,0,0,0,90,37,127,0,0,127,0
dr5rej,0,0,0,0,0,0,72,12,0,15,3,0,0,8,50,60,110,0,0,110,0
dr5rek,0,0,0,0,0,0,20,0,0,26,0,0,0,2,30,18,48,0,0,48,0
dr5rem,0,0,0,0,0,0,15,0,0,9,0,0,0,0,12,12,24,0,0,24,0
dr5ren,0,0,4,2,0,0,44,24,0,17,3,6,3,2,46,59,102,3,0,100,5
dr5rep,0,0,1,0,0,0,35,46,1,17,0,2,1,0,86,17,102,1,0,101,2
dr5req,0,0,0,0,0,0,54,0,0,6,0,0,0,1,36,25,61,0,0,61,0
dr5rer,0,0,0,0,0,0,6,12,0,14,4,0,0,3,24,15,39,0,0,39,0
dr5reu,0,0,0,0,4,0,65,41,0,3,0,5,0,0,24,94,118,0,0,118,0
