geohash_start,geohash_end,weight
dr5ruc,dr5ruf,7
dr5rud,dr5rue,12
dr5rud,dr5ruf,8
dr5rue,dr5ruf,2
dr5rue,dr5rug,7
dr5rue,dr5ruk,2
dr5rue,dr5rus,9
dr5ruf,dr5rug,6
dr5ruf,dr5rv5,1
dr5rug,dr5rus,1
dr5rug,dr5ruu,12
dr5rug,dr5rv5,4
dr5rug,dr5rvh,1
dr5ruh,dr5ruj,5
dr5ruh,dr5ruk,6
dr5ruj,dr5ruk,2
dr5ruj,dr5rum,6
dr5ruj,dr5run,4
dr5ruk,dr5rum,8
dr5ruk,dr5rus,6
dr5rum,dr5run,1
dr5rum,dr5ruq,11
dr5rum,dr5rus,1
dr5rum,dr5rut,9
dr5run,dr5ruq,6
dr5run,dr72h2,1
dr5ruq,dr5rur,9
dr5ruq,dr5rut,1
dr5ruq,dr5ruw,7
dr5rur,dr5ruw,1
dr5rur,dr5rux,9
dr5rur,dr72h2,6
dr5rus,dr5rut,11
dr5rus,dr5ruu,9
dr5rus,dr5ruv,1
dr5rut,dr5ruv,6
dr5rut,dr5ruw,4
dr5ruu,dr5ruv,10
dr5ruu,dr5rv5,2
dr5ruu,dr5rv6,5
dr5ruu,dr5rvh,7
dr5ruv,dr5ruy,11
dr5ruv,dr5rvh,2
dr5ruv,dr5rvj,7
dr5ruw,dr5rux,5
dr5rux,dr72h2,1
dr5rux,dr72h8,8
dr5ruy,dr5ruz,6
dr5ruy,dr5rvj,1
dr5ruy,dr5rvn,9
dr5ruy,dr5rvp,1
dr5ruz,dr5rvp,8
dr5ruz,dr72h8,2
dr5ruz,dr72hb,3
dr5rv0,dr5rv1,15
dr5rv0,dr5rv3,2
dr5rv1,dr5rv3,8
dr5rv1,dr5rv4,8
dr5rv3,dr5rv4,2
dr5rv3,dr5rv6,21
dr5rv3,dr5rv9,6
dr5rv4,dr5rv5,2
dr5rv4,dr5rv6,8
dr5rv4,dr5rv7,1
dr5rv5,dr5rv7,4
dr5rv5,dr5rvh,7
dr5rv6,dr5rv7,8
dr5rv6,dr5rvd,12
dr5rv7,dr5rvd,1
dr5rv7,dr5rve,10
dr5rv7,dr5rvk,13
dr5rv7,dr5rvs,1
dr5rv9,dr5rvc,5
dr5rv9,dr5rvd,4
dr5rvc,dr5rvf,8
dr5rvc,dr5ry0,1
dr5rvc,dr5ry1,6
dr5rvc,dr5ry4,2
dr5rvd,dr5rve,15
dr5rvd,dr5rvf,4
dr5rvd,dr5rvg,2
dr5rve,dr5rvg,6
dr5rve,dr5rvs,15
dr5rve,dr5rvu,1
dr5rvf,dr5rvg,13
dr5rvf,dr5ry4,5
dr5rvg,dr5rvu,13
dr5rvg,dr5ry5,9
dr5rvg,dr5ryh,2
dr5rvh,dr5rvj,6
dr5rvh,dr5rvk,2
dr5rvh,dr5rvr,1
dr5rvj,dr5rvm,2
dr5rvj,dr5rvn,9
dr5rvj,dr5rvr,1
dr5rvk,dr5rvm,7
dr5rvk,dr5rvs,8
dr5rvm,dr5rvq,3
dr5rvm,dr5rvs,2
dr5rvm,dr5rvt,5
dr5rvn,dr5rvp,9
dr5rvn,dr5rvq,9
dr5rvp,dr5rvq,1
dr5rvp,dr5rvr,8
dr5rvp,dr72hb,2
dr5rvp,dr72j0,9
dr5rvp,dr72j2,1
dr5rvq,dr5rvr,7
dr5rvr,dr72j2,9
dr5rvs,dr5rvt,16
dr5rvs,dr5rvu,8
dr5rvt,dr5rvv,7
dr5rvt,dr5rvw,11
dr5rvu,dr5rvv,12
dr5rvu,dr5ryh,8
dr5rvu,dr5ryj,1
dr5rvv,dr5rvw,1
dr5rvv,dr5rvy,15
dr5rvv,dr5ryj,7
dr5rvw,dr5rvx,11
dr5rvw,dr5rvy,9
dr5rvw,dr5rvz,1
dr5rvx,dr5rvz,2
dr5rvy,dr5rvz,13
dr5rvy,dr5ryj,3
dr5rvy,dr5ryn,9
